,ewp,sp+1,tdd+1,fdd,tdd,fwp,sp,lsp,lat,long,aspect,slope,elev
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp25.yml,11.887,13.2,8.005,9.665,8.573,9.852,12.605,9.741,7.361,9.061,0.003,0.043,0.005
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,11.876,13.194,7.997,9.674,8.571,9.856,12.596,9.76,7.355,9.063,0.005,0.045,0.007
rfm_e10_md60_mfAUTO_mln50000_msl8_mss5_tdp50.yml,11.941,13.538,7.959,9.529,8.44,9.824,12.477,9.901,7.013,9.347,0.001,0.028,0.001
rfm_e10_md60_mfAUTO_mln50000_msl8_mss2_tdp50.yml,11.941,13.538,7.959,9.529,8.44,9.824,12.477,9.901,7.013,9.347,0.001,0.028,0.001
rfm_e10_md100_mfAUTO_mln50000_msl4_mss10_tdp50.yml,11.939,13.534,7.954,9.53,8.442,9.826,12.474,9.91,7.01,9.348,0.001,0.029,0.002
rfm_e100_md25_mfAUTO_mln50000_msl4_mss10_tdp25.yml,12.062,13.194,8.08,9.624,8.545,9.786,12.75,9.63,7.359,8.914,0.005,0.044,0.007
rfm_e100_md25_mfAUTO_mln50000_msl2_mss5_tdp25.yml,12.058,13.191,8.079,9.626,8.543,9.788,12.746,9.636,7.356,8.914,0.007,0.047,0.009
rfm_e100_md25_mfAUTO_mln50000_msl2_mss2_tdp25.yml,12.058,13.191,8.08,9.626,8.544,9.787,12.745,9.637,7.356,8.912,0.007,0.047,0.009
rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.yml,11.819,13.655,7.922,9.467,8.454,9.843,12.563,9.798,7.14,9.316,0.0,0.023,0.001
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75.yml,11.819,13.655,7.922,9.467,8.454,9.843,12.563,9.798,7.14,9.316,0.0,0.023,0.001
rfm_e50_md60_mfAUTO_mln50000_msl2_mss10_tdp75.yml,11.818,13.652,7.921,9.467,8.453,9.846,12.561,9.801,7.139,9.317,0.001,0.024,0.002
