,aspect,elev,ewp,fdd,fwp,lat,long,lsp,slope,sp,sp+1,tdd,tdd+1
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp25.yml,0.001,0.002,4.97,4.883,38.839,11.251,12.106,5.256,0.075,3.698,3.777,5.406,9.737
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,0.002,0.003,4.982,4.89,38.8,11.244,12.102,5.266,0.076,3.708,3.786,5.408,9.732
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,0.002,0.003,4.982,4.89,38.8,11.244,12.102,5.266,0.076,3.708,3.786,5.408,9.732
rfm_e10_md60_mfAUTO_mln50000_msl8_mss5_tdp50.yml,0.002,0.002,4.944,4.884,38.814,11.278,12.189,5.209,0.074,3.666,3.748,5.426,9.763
rfm_e10_md60_mfAUTO_mln50000_msl8_mss2_tdp50.yml,0.002,0.002,4.944,4.884,38.814,11.278,12.189,5.209,0.074,3.666,3.748,5.426,9.763
rfm_e10_md100_mfAUTO_mln50000_msl4_mss10_tdp50.yml,0.002,0.002,4.956,4.891,38.776,11.27,12.184,5.221,0.075,3.681,3.757,5.427,9.757
rfm_e100_md25_mfAUTO_mln50000_msl4_mss10_tdp25.yml,0.002,0.003,4.995,4.891,38.825,11.228,12.079,5.281,0.073,3.723,3.768,5.396,9.736
rfm_e100_md25_mfAUTO_mln50000_msl2_mss5_tdp25.yml,0.002,0.003,4.999,4.893,38.812,11.226,12.078,5.285,0.074,3.726,3.771,5.397,9.735
rfm_e100_md25_mfAUTO_mln50000_msl2_mss2_tdp25.yml,0.003,0.003,4.999,4.893,38.812,11.226,12.078,5.284,0.074,3.725,3.771,5.397,9.735
rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.yml,0.001,0.002,4.97,4.883,38.839,11.251,12.106,5.256,0.075,3.698,3.777,5.406,9.737
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75.yml,0.001,0.002,4.97,4.883,38.839,11.251,12.106,5.256,0.075,3.698,3.777,5.406,9.737
rfm_e50_md60_mfAUTO_mln50000_msl2_mss10_tdp75.yml,0.002,0.003,4.984,4.893,38.79,11.244,12.1,5.269,0.076,3.711,3.788,5.408,9.732
