,R^2
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp25.yml,0.9843470467974323
rfm_e50_md60_mfAUTO_mln50000_msl4_mss5_tdp25.yml,0.9846695650015928
rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.yml,0.9843470467974323
rfm_e50_md60_mfAUTO_mln50000_msl8_mss5_tdp75.yml,0.9843470467974323
rfm_e50_md60_mfAUTO_mln50000_msl2_mss10_tdp75.yml,0.9847489324515638
rfm_e100_md25_mfAUTO_mln50000_msl4_mss10_tdp25.yml,0.9840929642538884
rfm_e100_md25_mfAUTO_mln50000_msl2_mss5_tdp25.yml,0.9841814334725347
rfm_e100_md25_mfAUTO_mln50000_msl2_mss2_tdp25.yml,0.9841801636064959
rfm_e10_md60_mfAUTO_mln50000_msl8_mss5_tdp50.yml,0.9827020770215115
rfm_e10_md60_mfAUTO_mln50000_msl8_mss2_tdp50.yml,0.9827020770215115
rfm_e10_md100_mfAUTO_mln50000_msl4_mss10_tdp50.yml,0.9830560125823636
