,features,mean_abs_error,mean_error,median_abs_error,median_error,predict_time,r2,train_time,var_abs_error,var_error
ACP-training-base_rfm_e50_md100_mfAUTO_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.3163111510522492,-0.003882075402410343,0.8534031619376661,0.018855442785406407,0:00:26.564338,0.9789811798400616,1:21:07.356269,2.289812051833181,4.022472027708228
ACP-training-base_rfm_e50_md100_mfSQRT_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.8804862882525233,-0.005986999199779719,1.1799139960424516,0.04675642798872648,0:00:26.564877,0.9587813471849054,0:22:21.636430,4.35201137755657,7.888204213702904
ACP-training-base_rfm_e50_md100_mfLOG2_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.8848759515159328,-0.007084545778270092,1.1828073732967976,0.04693470083665119,0:00:26.337209,0.9585517176835574,0:22:18.028703,4.379428164591139,7.932135326405332
ACP-training-base_rfm_e50_md100_mf1_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,5.353973390422926,-0.009399476852014383,4.081202273154864,0.6130156360061167,0:00:28.148018,0.7318251515253432,0:09:43.623831,22.657063126771988,51.322005841963794
ACP-training-base_rfm_e50_md100_mf3_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.880607972370689,-0.007084897873325718,1.180736457294803,0.048067309001062375,0:00:26.551309,0.9587460895973782,0:22:16.294740,4.35830115035981,7.89493730032613
ACP-training-base_rfm_e50_md100_mf4_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.6151272818059423,-0.005381152325254042,1.0096060364220754,0.03451338675654281,0:00:26.341186,0.9691100104841247,0:27:59.521684,3.3029508768331497,5.9115580564666725
ACP-training-base_rfm_e50_md100_mf5_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.4770205760911987,-0.005715759041221583,0.9261806060716459,0.02791337735095878,0:00:26.139197,0.974014569788889,0:33:44.380024,2.7913847696790666,4.9729418819744255
ACP-training-base_rfm_e50_md100_mf6_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.3995465936014817,-0.004450079446570762,0.881550087647985,0.025321075793296455,0:00:26.182222,0.9766220674736575,0:39:37.629964,2.515232725842807,4.473943590297236
ACP-training-base_rfm_e50_md100_mf8_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.2911263072790018,-0.004525165253991215,0.8176069027924413,0.021722238073923705,0:00:26.168202,0.9800176528439878,0:51:11.078196,2.157124423389779,3.8241110876171036
ACP-training-base_rfm_e50_md100_mf10_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.2373608489923114,-0.0037813048079355562,0.7901365573437235,0.019926397456149658,0:00:26.937039,0.9816593175280248,1:03:14.975067,1.9788953036967014,3.5099428760496116
ACP-training-base_rfm_e50_md100_mf12_mln50000_msl8_mss5_tdp75.joblib,ACP-training-base.yml,1.2299880505833465,-0.003563189407497197,0.790430764785971,0.018833310641679812,0:00:26.438380,0.9818530355242018,1:14:57.136016,1.9600136924599847,3.4728716007190563
